	Overall (N=112,156)	Control (N=108,428)	Glaucoma (N=3,728)	p	OR (Univariate)	p (Univariate)	OR (Model 1)	p (Model 1)	OR (Model 2)	p (Model 2)
IOPg pre-treatment	16.47 (14.16, 19.06)	16.37 (14.10, 18.88)	21.24 (17.66, 25.38)	<0.001	1.99 (1.94 - 2.04)	<0.001	1.95 (1.91 - 2.00)	<0.001	1.95 (1.91 - 2.00)	<0.001
IOPg pre-treatment inter-eye difference	1.60 (0.74, 2.81)	1.58 (0.74, 2.78)	2.25 (1.09, 4.19)	<0.001	1.23 (1.21 - 1.25)	<0.001	1.23 (1.21 - 1.25)	<0.001	0.64 (0.62 - 0.66)	<0.001
Corneal hysteresis	10.44 (9.17, 11.72)	10.46 (9.20, 11.73)	9.71 (8.28, 11.14)	<0.001	0.67 (0.65 - 0.70)	<0.001	0.74 (0.71 - 0.77)	<0.001	0.77 (0.75 - 0.80)	<0.001
Corneal hysteresis inter-eye difference	1.01 (0.46, 1.86)	1.00 (0.46, 1.85)	1.17 (0.55, 2.14)	<0.001	1.07 (1.05 - 1.09)	<0.001	1.06 (1.04 - 1.09)	<0.001	0.64 (0.62 - 0.67)	<0.001
Corneal resistance factor	10.72 (9.40, 12.11)	10.71 (9.40, 12.09)	11.05 (9.57, 12.70)	<0.001	1.10 (1.07 - 1.12)	<0.001	1.12 (1.10 - 1.15)	<0.001	0.72 (0.70 - 0.74)	<0.001
Spherical equivalent	0.11 (-1.24, 1.05)	0.11 (-1.22, 1.04)	0.06 (-1.85, 1.21)	0.030	0.91 (0.88 - 0.94)	<0.001	0.83 (0.81 - 0.86)	<0.001	0.86 (0.83 - 0.88)	<0.001
Polygenic risk score	-0.03 (-0.71, 0.66)	-0.05 (-0.73, 0.63)	0.82 (0.12, 1.51)	<0.001	2.39 (2.31 - 2.47)	<0.001	2.43 (2.35 - 2.52)	<0.001	2.07 (2.00 - 2.15)	<0.001
Age at initial assesement	58.00 (50.00, 63.00)	58.00 (50.00, 63.00)	63.00 (58.00, 66.00)	<0.001	2.07 (1.98 - 2.15)	<0.001	2.15 (2.06 - 2.24)	<0.001	2.11 (2.02 - 2.20)	<0.001
Ethnicity (1.0)	100431 (89.55%)	97240 (89.68%)	3191 (85.60%)	<0.001	0.68 (0.62 - 0.75)	<0.001	0.49 (0.45 - 0.55)	<0.001	0.45 (0.40 - 0.49)	<0.001
Townsend deprivation index	-1.58 (-3.29, 1.07)	-1.58 (-3.29, 1.06)	-1.58 (-3.31, 1.33)	0.433	1.03 (1.00 - 1.06)	0.068	1.06 (1.02 - 1.09)	0.001	1.05 (1.02 - 1.09)	0.005
Diastolic blood pressure	81.50 (75.00, 88.50)	81.50 (75.00, 88.50)	82.00 (75.50, 88.50)	0.014	1.03 (0.99 - 1.06)	0.102	0.98 (0.95 - 1.02)	0.369	0.91 (0.88 - 0.94)	<0.001
HbA1c	35.40 (32.90, 38.10)	35.30 (32.90, 38.10)	36.30 (33.70, 39.50)	<0.001	1.19 (1.17 - 1.22)	<0.001	1.09 (1.06 - 1.12)	<0.001	1.07 (1.04 - 1.10)	<0.001
Total cholesterol	5.63 (4.82, 6.47)	5.63 (4.83, 6.47)	5.51 (4.66, 6.39)	<0.001	0.91 (0.88 - 0.94)	<0.001	0.95 (0.92 - 0.98)	0.004	0.93 (0.90 - 0.97)	<0.001
eGFR serum creatinine	96.79 (86.53, 103.26)	96.88 (86.62, 103.40)	94.61 (83.45, 100.02)	<0.001	0.79 (0.77 - 0.82)	<0.001	1.02 (0.99 - 1.06)	0.241	1.00 (0.96 - 1.04)	0.946
Urinary sodium-creatinine ratio	9.39 (6.33, 13.34)	9.40 (6.34, 13.34)	9.14 (6.03, 13.29)	0.007	0.97 (0.93 - 1.00)	0.071	0.99 (0.95 - 1.02)	0.475	0.96 (0.92 - 1.00)	0.036
